eng_input,eng_label,match_using_label,match_using_sentence,heb_input,heb_label
Along the street a lot.,Sites,1,1,לאורך הרחוב הרבה מאד,אתרים
"However, they did not adopt",The Arabs,1,1,עם זאת לא אימצו,הערבים
The City has a new borough established,At the end,1,1,הסיטי רובע חדש שהוקם,בסוף
After graduating high school,Learn,1,1,לאחר סיום לימודיו התיכוניים,למד
In a way she is.,Dictionary,1,1,במובן מסוים היא כן,מילון
His fellow rebels who did not succeed,Escape,0,1,חבריו למרד שלא הצליחו,להימלט
I don't think there is,In this,1,1,אני לא חושב שיש,בזה
There is also no hint,For work,1,1,כמו כן אין רמז,לעבודה
New discussions must be held,In the buffet,1,1,דיונים חדשים יש לקיים,במזנון
You're just embarrassing,Yourself,0,1,אתה רק מביך את,עצמך
We would be happy if the value were expanded.,In the future,1,1,נשמח אם הערך יורחב,בעתיד
I still owe you,Value,1,1,אני עדיין חייב לך,ערך
There is no advertising because,The Body,1,1,אין פרסומת בערך כי,הגוף
The album was very successful throughout.,The World,1,1,האלבום הצליח מאד ברחבי,העולם
Which of the two sentences describes,In your opinion,1,1,איזה משני המשפטים מתאר,לדעתך
If you can write,About,0,1,אגב אם תוכל לכתוב,על
But it shouldn't,to be,1,1,אבל זה לא צריך,להיות
I think it's an issue.,of,1,1,נראה לי שזה עניין,של
In the general public considered Abidan,To the man,1,1,בציבור הרחב נחשב אבידן,לאיש
The Murder of Two Jewish Sisters,There was,1,1,רצח שתי האחיות היהודיות,היה
The maximum book contains a review,of,1,1,הספר מקסימום מכיל סקירה,של
Extensive processing of work,The Doctor,1,1,עיבוד נרחב של עבודת,הדוקטור
I heard the thing from Ben.,Family,1,1,שמעתי את הדבר מבן,משפחה
It is important to note that he is Brazilian.,Himself,0,1,חשוב לציין שהוא ברזילאי,בעצמו
In the evenings it seemed that today,Bo,1,1,לערבים נראה היה שהיום,בו
If it is deleted no,I'll rise,0,1,במידה והיא תמחק לא,אעלה
Clarification of importance must be addressed,Specific,0,1,הבהרת חשיבות חייבת להתייחס,ספציפית
"During the talks, too,",The Americans,1,1,גם במהלך הדיונים המשיכו,האמריקאים
I wrote The guy started,On foot,1,1,אני כתבתי הבחור התחיל,ברגל
You can't act as if,It's,1,1,אי אפשר להתנהג כאילו,זה
I even offered a picture,of,1,1,אני אפילו הצעתי תמונה,של
I created the template yesterday,And all,1,1,יצרתי את התבנית אתמול,והכל
In Israel this method is less,Acceptable,0,1,בישראל שיטה זו פחות,מקובלת
This group includes,Hotel,1,1,קבוצה זו כוללת את,מלון
External links Official website,of,1,1,קישורים חיצוניים האתר הרשמי,של
Switzerland has been recognized as a country.,Independent,0,1,שווייץ זכתה להכרה כמדינה,עצמאית
There is a kind of reciprocity,Between,1,1,ישנם מעין יחסי גומלין,בין
"Also, the situation has improved.",Since,1,1,מה גם שהמצב השתפר,מאז
The Wikipedia articles were created to,Give,0,1,הערכים בויקיפדיה נוצרו כדי,לתת
"There are no five criteria, but",Four,0,1,אין חמישה קריטריונים אלא,ארבעה
I think you have shown,The things,1,1,בכלל אני חושב שהצגת,הדברים
The military reality created reality.,Diplomatic,0,1,המציאות הצבאית יצרה מציאות,דיפלומטית
The second part of,The Book,1,1,גם חלקו השני של,הספר
Or to think if there is,To this,0,1,או לחשוב אם יש,לזה
In parentheses the start date of the term,As President,1,1,בסוגריים תאריך תחילת הכהונה,כנשיא
If you are missing a little,Volume,0,1,אם חסר לך קצת,נפח
Military administration is more,From,0,1,ממשל צבאי הוא יותר,מ
And do you really think,Somebody.,0,1,והאם באמת אתה חושב,שמישהו
Each Request Request Note,Message,1,1,כל פנייה בקשה הערה,הודעה
His relationship with Pope John,Paul,1,1,יחסיו עם האפיפיור יוחנן,פאולוס
The criteria set out on,Hands,0,1,הקריטריונים אשר נקבעו על,ידי
There was a discussion of half,Day,1,1,היה דיון של חצי,יום
Where do you think there are more,Necessity,0,1,איפה לדעתך יש עוד,צורך
Try to bring up the topic.,In the buffet,1,1,תנסה להעלות את הנושא,במזנון
I am an old wikipedian who has been found,Currently,1,1,אני ויקיפד ותיק שנמצא,כרגע
All companies that are organized are,Companies,1,1,כל חברות ההסתדרות הן,חברות
In the end we,Supposed,0,1,בסופו של דבר אנחנו,אמורים
Capital city of the country,Ashur,1,1,עיר הבירה של ארץ,אשור
Preferably the Dutch colonies.,In Brazil,1,1,עדיף לדעתך מושבות הולנד,בברזיל
At the same time it,Don't,0,1,יחד עם זאת זה,לא
Under the Tower of David Pool,The Sultan,1,1,מתחת למגדל דוד בריכת,הסולטן
How do you say a photograph of,Donkey,1,1,איך אומרים צילום של,חמור
In Yehuda Ziv's book,Appears,1,1,בספרו של יהודה זיו,מופיע
I don't think the category,Harmful,0,1,אני לא חושב שהקטגוריה,מזיקה
The chapter is named after,One,0,1,הפרק קרוי על שם,אחד
If the page in question is created,Re-,0,1,אם הדף המדובר יווצר,מחדש
Probably flowered from my head due,University,0,1,כנראה פרח מראשי בשל,האוניברסיטה
Certainly not all,The material,1,1,ודאי שלא כל מלוא,החומר
And by the way how and why,You've arrived,1,1,ודרך אגב איך ולמה,הגעת
It says on the option adder,Evacuate,0,1,כתוב שעל מוסיף האופציה,לפנות
Canel regarding the count value,The Omer,1,1,כנל לגבי הערך ספירת,העומר
No prior consultation is required.,For edits,1,1,אין חובת התייעצות מוקדמת,לעריכות
An excellent example of this is,Drawing,1,1,דוגמה מצוינת לכך היא,ציור
I didn't understand which,Gender,0,1,ואני לא הבנתי איזו,מין
That means they must be,Home,0,1,כלומר הם חייבים להיות,בבית
From what you say I understand that you are not,Denying,0,1,מדבריך הבנתי שאתה לא,מכחיש
Georg who sometimes helped his father,In his work,1,1,גאורג שלעתים עזר לאביו,בעבודתו
There is no problem with,The Use,1,1,אין שום בעייה על,השימוש
About a re-vote in,2 Months,1,1,לגבי הצבעה חוזרת בעוד,חודשיים
That's enough influence on,His Life,1,1,זה מספיק השפעה על,חייו
Politicians Neville Chamberlain was,Ben,1,1,פוליטיקאים נוויל צמברליין היה,בן
Value Requires Academic Care,Urgent,1,1,הערך דורש טיפול אקדמי,דחוף
You also voted for,to be,1,1,גם הצבעת בעד צריכה,להיות
You usually learn the syntax.,Wiki,0,1,בדכ לומדים את תחביר,ויקי
What about the people of the settlement,The Old,1,1,מה עם אנשי היישוב,הישן
I am convinced that it is possible to build,Values,1,1,אני משוכנע שניתן לבנות,ערכים
The Main Influence of My Rulers,The Dynasty,0,1,השפעתם העיקרית של שליטי,השושלת
Relationship with family friends,At work,1,1,יחסים עם המשפחה חברים,בעבודה
Without the approval of this Congress,Don't,0,1,ללא אישור הקונגרס זה,לא
It accounts for less than half,From Value,0,1,היא מהווה פחות ממחצית,מהערך
Larger vehicle containing,More,0,1,הרכב גדול יותר המכיל,יותר
Each case must be examined.,To His Body,0,1,יש לבחון כל מקרה,לגופו
The pages of Hanukkah edit,Wiki,0,1,הדפים של חנוכה עורך,ויקי
External links Ministry of Quality,The Environment,1,1,קישורים חיצוניים המשרד לאיכות,הסביבה
There is no doubt that there was,Married,1,1,אין ספק כי היה,נשוי
Is it used in,Extensive,1,1,האם הוא מצוי בשימוש,נרחב
2 Script won't solve,Problems,1,1,2 סקריפט לא יפתור,בעיות
This is not a personal injury.,In you,0,1,זו לא פגיעה אישית,בך
He was buried in the town where,Growing,1,1,הוא נקבר בעיירה בה,גדל
It can be deleted for me because,Their Importance,1,1,אפשר למחוק מבחינתי כי,חשיבותם
I've done experience and values,New,0,1,אני עשיתי נסיון ובערכים,חדשים
If so are you,Confirm,0,1,אם כן האם אתה,מאשר
If you think there is no,Importance,1,1,אם אתה חושב שאין,חשיבות
But I think at least,Half,1,1,אבל אני חושב שלפחות,חצי
Also links to values that are not,Existing,0,1,גם קישורים לערכים שאינם,קיימים
His character was played by the actor.,Stephen.,1,1,את דמותו גילם השחקן,סטיבן
"At the end of the war, he replaced",Shimon,1,1,בסוף המלחמה החליף את,שמעון
About the expression lifestyle,I am,1,1,לגבי הביטוי אורח חיים,אני
About deletion of team staff,I am,1,1,לגבי מחיקת סגל הקבוצה,אני
"If so, why not",Deleted,1,1,ואם כך למה לא,נמחק
Life History Sarah Shiloh,Born,0,1,תולדות חייה שרה שילה,נולדה
It makes sense to plant.,Healer,1,1,יש הגיון בערך צמחי,מרפא
I wrote a value that presented,Access,1,1,אני כתבתי ערך שהציג,גישה
All metal tools have,Size,1,1,לכל כלי מתכת יש,גודל
These tasks are forms,The Fighting,1,1,משימות אלו הן צורות,הלחימה
There is no matter of,Representation,1,1,אין כאן עניין של,ייצוג
Voting rights are measured in relation to,Date,0,1,זכות הצבעה נמדד ביחס,לתאריך
I didn't think you meant,Structure,0,1,לא חשבתי שאת מתכוונת,למבנה
An Inverter Approach to Man Description,At sea,1,1,תיאור גישת מהפך לאדם,בים
I never claimed to have,Importance,1,1,מעולם לא טענתי שיש,חשיבות
The female on the other hand comes to the group,where,0,1,הנקבה לעומתם מגיעה לקבוצה,שבה
The same cause is fear.,In battle,1,1,אותו הגורם מהווה פחד,בקרב
If there is a problem perhaps,Simple,1,1,אם יש בעייה אולי,פשוט
During World War II,There were,1,1,בתקופת מלחמת העולם השנייה,היו
She was eliminated at a quarter stage,Finals,0,1,היא הודחה בשלב רבע,הגמר
I don't see how a discussion,Renewed,0,1,איני רואה כיצד דיון,מחודש
It is better to use Josef.,Goebbels,1,1,כדאי להעזר בערך יוזף,גבלס
And now that you're a Goth knight,Reporter,1,1,ועכשיו שאתה אביר גותי,כתב
Sixteen Dynasty Emperors,Ming,1,1,שישה עשר קיסרי שושלת,מינג
In doing so also ensure,Equality,1,1,בתוך כך גם להבטיח,שוויון
With me P. Talk or,At least,1,1,איתי פ שיחה או,לפחות
Another brother was a senior,In System,1,1,אח נוסף היה בכיר,במערכת
How do I know if,It's,1,1,איך אני יודע אם,זה
This time the planes found,Their Purpose,1,1,הפעם מצאו המטוסים את,מטרתם
He was the head of the Smart Movement.,Israel,1,1,היה מראשי תנועת חכמת,ישראל
The building was designed by,The Architect,1,1,המבנה תוכנן על ידי,האדריכל
In the story I mention characters,Real,0,1,בסיפור אני מזכיר דמויות,אמיתיות
Demography About a Third of Malaysia's Population,They,1,1,דמוגרפיה כשליש מאוכלוסיית מלזיה,הם
It's time to set up.,Organization,1,1,הגיע איפוא הזמן להקמת,ארגון
I will also add that I am not,See?,1,1,אוסיף גם כי איני,רואה
The bulletin board should not be opened,Discussions,1,1,בלוח המודעות אין לפתוח,דיונים
This part is set up at the end,Part,1,1,חלק זה מוקם בסוף,חלק
The people you can show,Lee,1,1,העם אתה יכול להראות,לי
Any photo unless,Yeah.,1,1,כל תמונה אלא אם,כן
1 must be transferred to the portal,Sports,1,1,1 צריך להעביר לפורטל,ספורט
The bay gradually becomes a site,Tourism,1,1,המפרץ הופך בהדרגה לאתר,תיירות
The Church of John the Baptist,Today,0,1,בכנסיית יוחנן המטביל שוכנת,כיום
Teaching Katz You've Made Changes,Extensive,0,1,מלמד כץ עשית שינויים,נרחבים
An important theme that appears in the story,He is,0,1,מוטיב חשוב שמופיע בסיפור,הוא
That's caused a deep sky,And no,1,1,כלומר גרם שמיים עמוק,ולא
A house was also built.,Orphans,1,1,במקום הוקמו גם בית,יתומים
No explanation without,Comment,1,1,בלי שום הסבר בלי,הערה
Stop deleting things of,Others,1,1,הפסק למחוק דברים של,אחרים
Even the destruction of Carthage more,Secretary,0,1,אפילו חורבן קרתגו יותר,מזכיר
If the user is not there,Map,1,1,ואם המשתמש לא שם,מפה
David meanings Legitimate Emphasis,But,1,1,דוד פירושונים ההדגשה לגיטימית,אבל
"After a brief discussion, they",Become,0,1,לאחר התלבטות קצרה הם,הופכים
The complex was expanded by,The Rulers,1,1,המתחם הורחב על ידי,השליטים
Operation Lightning Strike No,Existing,1,1,מבצע מכת ברק לא,קיים
Ben Gurion stated that,Ino,0,1,בן גוריון קבע כי,אינו
If you mean a band called,It's,1,1,אם התכוונתם ללהקה בשם,זה
There is no hint of a lack.,Trust,1,1,אין שם רמז לחוסר,אמון
I'm going out right now and also,Tomorrow,1,1,אני יוצא כרגע וגם,מחר
Value should be given examples,News,1,1,הערך צריך לקבל דוגמאות,חדשות
Vote on the site as well.,And also,1,1,גם ההצבעה על האתר,וגם
What's also that OK,Marked,1,1,מה גם ש אישור,מסומן
Can someone add a little,Color,1,1,מישהו יכול להוסיף קצת,צבע
On the other hand the word age,Less,1,1,לעומת זאת המילה גיל,פחות
Wikipedia's goal is,Provide,0,1,המטרה של ויקיפדיה היא,לספק
Other uses include towers.,Water,1,1,שימושים נוספים ישנם מגדלי,מים
Or after it has been deleted it,Already,1,1,או שאחרי שנמחק זה,כבר
What we don't have is enough,Alternatives,1,1,מה אין לנו מספיק,חלופות
Many important things are not,Mentioned,0,1,דברים חשובים רבים לא,מוזכרים
Novgorod is a famous city,In Russia,1,1,נובגורוד היא עיר מפורסמת,ברוסיה
This fact was not,Always,1,1,עובדה זאת לא הייתה,תמיד
In any case if you,Interested,1,1,בכל מקרה אם אתה,מעוניין
Seinfeld was not a success.,Instantly,0,1,סיינפלד לא נחלה הצלחה,מיידית
If it already contains,Less,1,1,אם כבר הוא מכיל,פחות
Instructions on where to find,The Book,1,1,הוראות איפה למצוא את,הספר
The problem is that sometimes presented,Ass,1,1,הבעיה היא שלפעמים מוצג,תחת
This implies that there is,Something,1,1,זה מרמז לכך שיש,משהו
I had forgotten that there were,Lee,1,1,כבר הספקתי לשכוח שהיו,לי
Read the value Churchill,Born,1,1,קראו את הערך צרציל,נולד
All of this discussion should,to be,1,1,כל הדיון הזה צריך,להיות
If you don't have what,Expand,0,1,אם אין לך מה,להרחיב
There is no law either.,Such,1,1,לכן גם אין חוק,כזה
The first failed and the result was,Ball,1,1,הראשון נכשל והתוצאה הייתה,כדור
Maybe there's a hole here.,In System,1,1,אולי יש כאן חור,במערכת
This account was discovered.,The Genius,1,1,את החשבון הזה גילה,הגאון
The Constitution Committee decided whether,Rules,1,1,ועדת החוקה החליטה האם,חוקים
This information was obtained through,Telescope,1,1,מידע זה הושג באמצעות,טלסקופ
I was looking for where they offered it.,It's,1,1,חיפשתי איפה מציעים את,זה
My last edit on the page,The Conversation,1,1,העריכה האחרונה שלי בדף,השיחה
How about you close up?,The Ring,1,1,מה דעתך לסגור את,הטבעת
See if this is now,Looks,1,1,תראה אם עכשיו זה,נראה
Black and white with only,A little,1,1,שחור ולבן עם רק,קצת
It is a market street and not,Just,1,1,מדובר ברחוב שוק ולא,רק
The development team puts emphasis,About,0,1,צוות הפיתוח שם דגש,על
"A year later, they announced",Independence,1,1,כעבור שנה הכריזו על,עצמאות
This electoral system is unique.,In number,1,1,מערכת הבחירות הזו ייחודית,במספר
The club includes league teams.,Professionalism,1,1,המועדון כולל קבוצות ליגה,מקצועיות
See the battle of Suez that I,does,0,1,ראה קרב סואץ שאני,עושה
The line was deleted by,User,1,1,השורה נמחקה על ידי,משתמש
If that's not true,Should,1,1,אם זה לא נכון,צריך
And as Tzekhlevra has already said,It's,1,1,וכמו שכבר אמר צכלברה,זה
The desire for a Chinese union under,The Republic,1,1,השאיפה לאיחוד סיני תחת,הרפובליקה
It doesn't help that they showed up.,parentheses,1,1,לא עוזר לי שהופיעו,סוגריים
External links Flags made,In them,1,1,קישורים חיצוניים דגלים שנעשה,בהם
Everything you need,It's,1,1,כל מה שאתה צריך,זה
There are features There is power,And there,0,1,יש תכונות יש עוצמה,ויש
Do you add translations to names,Family,1,1,האם להוסיף תרגומים לשמות,משפחה
So who is in fact,The Expert,1,1,אז מי הוא למעשה,המומחה
In American Law this chapter,Luka,1,1,במשפט האמריקאי פרק זה,לוקה
The first volume deals with the period,Between,0,1,הכרך הראשון עוסק בתקופה,שבין
Therefore proposes to delete the,The trial,1,1,לכן מציע למחוק את,המשפט
Early life Silver was born,His Sons,1,1,חייו המוקדמים סילבר נולד,בניו
The bill wins.,In the meantime,1,1,הצעת החוק אגב זוכה,בינתיים
I will raise this question again.,For Discussion,1,1,עוד אעלה שאלה זו,לדיון
The film was directed by,Robin,1,1,הסרט בוים על ידי,רובין
The server can also handle,With,1,1,השרת יכול להתמודד גם,עם
His rise to a position of power such as,Stalin,1,1,עלייתו לעמדת כוח כמו,סטלין
It requires first and foremost,Less,1,1,זה דורש בראש ובראשונה,פחות
Today the majority of Andes,They,1,1,כיום מרבית תושבי האנדים,הם
And you're sure that this picture,She,1,1,ואתה בטוח שהתמונה הזאת,היא
External Links Home Page,of,1,1,קישורים חיצוניים דף הבית,של
He served as Prime Minister,Lebanon,0,1,הוא כיהן כראש ממשלת,לבנון
"As for the chances, there are",More,1,1,לגבי הסיכויים נראה יש,עוד
That's why I tried to delete,References,1,1,לכן בעבר השתדלתי למחוק,הפניות
External Links Home Page,of,1,1,קישורים חיצוניים דף הבית,של
Which version of Firefox,You.,1,1,באיזו גרסה של פיירפוקס,אתה
That's why I didn't think you should,to be,1,1,לכן לא חשבתי שצריכה,להיות
His first appearance in the United States,There was,0,1,הופעתו הראשונה בארצות הברית,הייתה
"As for the tongue, I",Less,1,1,לגבי לשון חזל אני,פחות
Value not deleted due to,The herd,1,1,הערך לא נמחק בשל,העדר
Low people are not successful.,In the game,1,1,אנשים נמוכים אינם מוצלחים,במשחק
Anyway the text is now,Looks,1,1,בכל אופן הטקסט עכשיו,נראה
They were also described,As my husband,1,1,כמו כן הם תוארו,כבעלי
To see the version,The Old,0,1,כדי לראות את הגרסה,הישנה
And then the turn too.,Mine,1,1,ואז גם את הפנייה,שלי
So I think it's possible,to say,0,1,ככה שאני חושב שאפשר,לומר
Rome portal Paris portal,Portal,0,1,פורטל רומא פורטל פריז,פורטל
"Therefore, it is important to take a test.",Mol,1,1,ולכן חשוב לבצע בדיקה,מול
All of these were put in.,Ido,1,1,את כל אלה הכניס,עידו
"Among other things, Newton published",Commentary,0,1,בין היתר פרסם ניוטון,פרשנות
The organization is also on the list,Values,0,1,הארגון גם מופיע ברשימת,הערכים
I suggest waiting until,The Election,1,1,אני מציע להמתין עד,הבחירות
Just make sure it's,Bands,1,1,דאג רק שאלו יהיו,להקות
"While still alive, his writings won.",To Success,1,1,בעודו בחיים זכו כתביו,להצלחה
There was an island here.,Understanding,1,1,הייתה פה איזו אי,הבנה
Free use can be done,What?,1,1,שימוש חופשי ניתן לעשות,מה
A certain integral is a number,Don't,0,1,אינטגרל מסויים הוא מספר,לא
You can see Paris at night.,And no,1,1,רואים את פריז בלילה,ולא
I'm surprised that none,One,0,1,אני מופתע מזה שאף,אחד
Please see Code of Conduct,Between,1,1,אנא ראה כללי התנהגות,בין
How to place a part,Tiny,1,1,איך ניתן למקם חלק,זעיר
The carnage was made in the face of,Muhammad,1,1,הטבח נעשה בפניו של,מוחמד
Is the information copied a word,In Word,0,1,האם המידע מועתק מילה,במילה
In the case of the spelling files,He is,0,1,במקרה של קבצי האיות,הוא
Super Mario anyone can,Scan,0,1,סופר מריו מישהו יכול,לסרוק
His mother was a museum director.,In town,1,1,אמו הייתה מנהלת מוזיאונים,בעיר
This one costs more anyway.,Year,1,1,הזה במילא עולה עוד,שנה
The parade took place along the streets,Allenby,0,1,המצעד נערך לאורך הרחובות,אלנבי
You have not yet reached this number,of,1,1,טרם הגעת למספר זה,של
There is a social value scale,And there,0,1,יש סולם ערכים חברתי,ויש
Even copy Link I,Don't,0,1,אפילו להעתיק לינק אני,לא
I think there is an option,Up to,1,1,אני חושב שיש אופציה,עד
Proposed settlement Excellent offer,In my opinion,1,1,הצעת הפשרה הצעה מצויינת,לדעתי
"Great value, but busy.",In Pictures,1,1,הערך נהדר אבל עמוס,בתמונות
The population is about the same.,Size,1,1,האוכלוסייה נשארת בערך באותו,גודל
I was looking for proof that the Rabbi,Autumn,1,1,חיפשתי אסמכתא לכך שהרב,סתיו
Value is important and should not be deleted,Him,0,1,הערך חשוב ואין למחוק,אותו
Attempts at conquest continued until,September,1,1,נסיונות הכיבוש נמשכו עד,ספטמבר
I'm glad the union proposal,Cancelled,0,1,אני שמח שהצעת האיחוד,בוטלה
"Anyway, I sent you",Message,1,1,בכל מקרה שלחתי לך,הודעה
Please create references only,If,1,1,אנא צור הפניות רק,אם
Put a value on it,Partial,1,1,לשים עליו קצרמר ערך,חלקי
"To do this, the recruiter",Edward,1,1,כדי לעשות זאת גייס,אדוארד
Many features of the method,The trial,1,1,מאפיינים רבים של שיטת,המשפט
In fact there is only a portal,Dynamic,1,1,למעשה יש רק פורטל,דינמי
"If necessary, it is better",Add,0,1,אם יש צורך כדאי,להוסיף
Among other things it has,Park,0,1,בין השאר יש בו,פארק
I think we should bring,Number,1,1,אני חושב שצריך להביא,מספר
This is where we do things.,Others,1,1,כאן אנחנו עושים דברים,אחרים
For urgent treatment of stencils or,Values,1,1,לטיפול דחוף קצרמרים או,ערכים
Better to find a good division,More,0,1,עדיף למצוא חלוקה טובה,יותר
In the next paragraph from the value,There is,1,1,בפסקה הבאה מתוך הערך,יש
The club's main rival,She,1,1,היריבה העיקרית של המועדון,היא
External links City site,In German,1,1,קישורים חיצוניים אתר העיר,בגרמנית
These sites accounted for as much,Apparently,0,1,אתרים אלה היוו ככל,הנראה
It is recommended to ask in a form,Direct,0,1,להבא מומלץ לשאול בצורה,ישירה
In the absence of qualifications there is no,Necessity,0,1,בהיעדר אסמכתאות אין כל,צורך
In such a situation there is no desire,Write,0,1,במצב כזה אין חשק,לכתוב
Winter time in advance of month,Cheshvan,0,1,זמן חורף מראש חודש,חשוון
The first volumes that came out,Written,0,1,יב הכרכים הראשונים שיצאו,נכתבו
"Anyway, I'm not.",Think,0,1,בכל מקרה אני לא,חושב
"In these cases, you say",Names,1,1,במקרים אלה אומרים את,שמות
I need to consult with you.,In Something,1,1,אני צריכה להתייעץ איתך,במשהו
Is it legitimate to add,Categories,1,1,האם זה לגיטימי להוסיף,קטגוריות
Video Blog Thanks for,Your Contribution,1,1,וידאו בלוג תודה על,תרומתך
There is no policy on,References,1,1,אין שום מדיניות לגבי,הפניות
D. Demand for sources is not,Weapons,0,1,ד דרישה למקורות אינה,נשק
Shot dead by,Jack.,1,1,נורה למוות על ידי,גק
His life is important to them.,More,0,1,מחייו שלו חשובים להם,יותר
The Egyptians tried to build an ability.,Creature,1,1,המצרים ניסו לבנות יכולת,יצור
The title is funny too.,And no,1,1,גם שם הערך מצחיק,ולא
Link to portals from categories,Secondary,0,1,קישור לפורטלים מתוך קטגוריות,משניות
Events Renewal of the Hundred Years War,The years,1,1,אירועים חידוש מלחמת מאה,השנים
You can always add it.,Names,1,1,תמיד תוכל להוסיף בו,שמות
Do not delete the images,Today,1,1,אין למחוק את התמונות,היום
Our policy is simple to delete,Him,0,1,המדיניות שלנו פשוטה למחוק,אותו
It was said that he was,Reporter,1,1,נאמר בערך שהוא היה,כתב
The murder of the Duke's brother,York,1,1,רצח אחי המלך דוכס,יורק
You or anyone.,Other,1,1,אתה או כל אחד,אחר
In the general election held late,More,0,1,בבחירות הכלליות שנערכו מאוחר,יותר
"During his tenure, he was strongly opposed",Changes,0,1,במהלך כהונתו התנגד מאוד,לשינויים
I didn't even offer to delete,Things,1,1,אפילו לא הצעתי למחוק,דברים
"During this time, groups are developing.",Stability,1,1,בתקופה זו מתפתחות קבוצות,יציבות
Also computerized in my opinion,Also,1,1,כמו כן ממוחשב לדעתי,גם
The whole area is covered.,Sands,1,1,האזור כולו שמם מכוסה,חולות
You can bring a link,External,1,1,אתה יכול להביא קישור,חיצוני
It remains to decide who,Wikipedia,1,1,נשאר להחליט את מי,ויקיפדיה
I didn't say delete things,Existing,0,1,לא אמרתי למחוק דברים,קיימים
There are several other streams.,Others,1,1,קיימים עוד מספר זרמים,אחרים
Perhaps joy or calonymus,will want,0,1,אולי שמחה או קלונימוס,ירצו
They've been wiped out They,Don't,0,1,הם כבר נמחקו הם,לא
And it seems to me that sleep,She,1,1,ונראה לי כי שינה,היא
This effort is not,Garlic,1,1,את המאמץ הזה אין,שום
This is a pan no less,Important,1,1,זהו פן לא פחות,חשוב
Of course without any intention,For publication,1,1,כמובן ללא כל כוונה,לפרסום
Don's main characters,Pedro,1,1,דמויות דמויות ראשיות דון,פדרו
